index,latitude,longitude,available_bikes,empty_slots,name,FS Restaurant Distance,Station Distance,yelp_index,yelp_rating,yelp_distance,Bike_Usage
110,25.798538,-80.128341,3,10,000203 - 23rd Street & Collins Ave (Walgreens),35,0,110,5.0,346.71368297456627,76.92
111,25.800083,-80.127029,1,7,000205 - 24th and Collins Ave,31,0,111,5.0,556.9537068977816,87.5
112,25.80087,-80.125602,10,6,000206 - 25th Street & Collins Ave,196,0,112,4.5,179.3467814611086,37.5
113,25.802289,-80.125915,5,11,000207 - 26th Street & Collins Ave,177,0,113,4.5,21.101437751548197,68.75
114,25.803857,-80.129386,3,9,000208 - 26th Street & Pine Tree Dr,315,0,114,4.5,386.6687333933261,75.0
115,25.806837,-80.125183,13,3,000210 - 31st Street & Collins Ave,13,0,115,4.5,157.9874619288386,18.75
116,25.809047,-80.123458,6,10,000211 - 35th Street & Collins Ave,49,0,116,4.5,19.758680684533523,62.5
117,25.812503,-80.123367,9,7,000212 - 40th Street & Collins Ave,14,0,117,4.5,30.145818398491063,43.75
118,25.814342,-80.129203,2,14,000214 - Royal Palm Ave Between 41St & 42St,60,0,118,4.5,295.4723396407015,87.5
119,25.81215,-80.135475,7,3,000216 - 39th Street & Alton Rd,58,0,119,4.0,364.0152597930519,30.0
120,25.816658,-80.130546,2,14,000218 - Prarie Between Chase & 44 Terr,295,0,120,4.0,348.58550706403867,87.5
121,25.816011,-80.123664,5,17,000220 - Collins Ave & 44th Street (Fountainbleau Hotel),96,0,121,4.0,165.02814588201397,77.27
122,25.820867,-80.122314,4,32,000221 - 46th Street & Collins Ave (Parking Lot),140,0,122,4.0,125.67965079939528,88.89
123,25.830375,-80.122238,14,2,000302 - Collins Ave & 5300 Block,119,0,123,2.0,98.09773485723504,12.5
124,25.84666,-80.12078,10,5,000304 - 64th Street & Collins Ave (parking lot),182,0,124,4.0,164.43217846171223,33.33
125,25.85069,-80.120628,4,8,000305 - 67th Street & Collins Ave,32,0,125,4.5,157.40411530789893,66.67
126,25.854211,-80.120712,5,11,000306 - 69th Street & Collins Ave (Publix),70,0,126,4.5,158.53587292104663,68.75
127,25.8558358,-80.1232378,0,16,000308 - 71st Street & Byron Ave,58,0,127,4.5,197.85724422289232,100.0
128,25.852079,-80.13755,11,3,000311 - Trouville Esplanade & Normandy Dr,649,0,128,4.0,403.34568731551246,21.43
129,25.857971,-80.125305,3,5,000313 - 73rd Street & Dickens Ave,340,0,129,4.5,236.80458376821275,62.5
130,25.858234,-80.121002,6,10,000314 - Collins Ave & 73rd Street,36,0,130,4.5,120.83910605986684,62.5
131,25.861253,-80.120704,2,14,000315 - 76th Street & Collins Ave,98,0,131,4.5,86.58368122711049,87.5
132,25.8642,-80.121223,1,15,000316 - 79th Street & Collins Ave,422,0,132,4.5,11.388658836334072,93.75
133,25.873098,-80.122093,4,12,000401 - 88th Street & Harding Ave,491,0,133,3.0,27.69583906769201,75.0
134,25.88108,-80.122207,11,5,000402 - Collins Ave & 93rd Street,65,0,134,5.0,368.3109234130383,31.25
135,25.8834214,-80.123717,8,0,000403 - 94th Street & Harding Ave (Publix),64,0,135,5.0,201.84868939659052,0.0
136,25.8871218,-80.1219757,6,5,000405 - 96th Street (Entrance to beach),148,0,136,5.0,161.32653658393113,45.45
137,25.887449,-80.133323,3,21,000501 - W Bay Harbor Dr & 97th Street,87,0,137,5.0,993.0549986081533,87.5
138,25.893302,-80.132423,7,9,000502 - 103rd Street btw W and E Bay Harbor Dr,702,0,138,5.0,1107.1748900923535,56.25
139,25.777514,-80.133384,1,0,000003 - Demo Store,28,0,139,4.5,194.23451524930368,0.0
140,25.790462,-80.143982,4,10,000175 - Lincoln Rd & Bay Rd,6,0,140,4.5,173.78851557250456,71.43
141,25.854495,-80.132502,3,13,000310 - Rue Notre Dame & 71 Street,79,0,141,4.0,55.38093672533125,81.25
142,25.734206,-80.230671,10,6,000610 - S. Bayshore Dr btw Treasure Trove Ln & Kirk St,281,0,142,5.0,788.6172726968462,37.5
143,25.730382,-80.235583,8,8,000609 - Charthouse Dr & S. Bayshore Dr,177,0,143,5.0,350.8926123505732,50.0
144,25.835972,-80.184035,7,9,000680 - Biscayne Blvd NE 65th Street,59,0,144,4.5,65.5901031212444,56.25
145,25.8135937,-80.1316858,4,12,000215 - Chase Ave Between 40st & 41st,32,0,145,4.5,37.40242176135245,75.0
146,25.8202417,-80.1876939,9,7,000677 - Biscayne Blvd NE 48 Street,429,0,146,4.5,437.7646159708352,43.75
147,25.827261,-80.186922,5,11,000678 - Biscayne Blvd NE 55th Ter,23,0,147,4.5,122.2744327917946,68.75
148,25.813662,-80.189196,8,4,000658 - NE 39th Street & Biscayne Blvd,244,0,148,4.5,115.52484906038472,33.33
149,25.7797147,-80.1890455,7,3,000645 - Biscayne Blvd btw NE 5th & 6th street,92,820,149,5.0,358.41906138535217,30.0
150,25.7653626,-80.1949821,1,15,000626 - SW 9th Street & SW 1st Ave,125,0,150,5.0,229.5697670401207,93.75
151,25.7674054,-80.1920305,6,2,000623 - Brickell City Center (8th Street Metro-Mover Stop),15,0,151,5.0,107.19055130507994,25.0
152,25.8074771,-80.1951626,10,2,000659 - 33rd Street & North Miami Ave.,74,0,152,5.0,34.96553969710734,16.67
153,25.814942,-80.19159,0,9,000673 - NE 2nd Ave & NE 42nd Street,83,0,153,4.5,77.17229405526656,100.0
154,25.8409532,-80.1839999,6,4,000683 - 72nd Street & Biscayne Blvd,59,0,154,4.5,202.18910426962836,40.0
155,25.8033602,-80.1920503,8,4,000670 - 148 NE 28th Street,111,0,155,5.0,54.39867163812457,33.33
156,25.8047295,-80.1246196,1,15,000209 - 29th & Collins (Edition Hotel),42,0,156,4.5,46.02437236357581,93.75
157,25.8561371,-80.1447683,3,7,000312 - 1102 Biarritz Dr (Normandy Shores Tennis Court),522,0,157,4.5,1112.0883882401472,70.0
158,25.7910019,-80.1424965,0,16,000170 - 1666 West Avenue,55,0,158,5.0,268.75890107077817,100.0
159,25.7851991,-80.140549,0,15,000145 - 14th & Alton,121,0,159,5.0,222.8017209827668,100.0
160,25.7975825,-80.132518,3,13,000199 - Washington Ave & Dade Blvd,196,0,160,5.0,20.43155331303399,81.25
161,25.77613,-80.19422,6,0,000674 - 48 NW 2nd Street,116,181,161,5.0,28.00479338076521,0.0
162,25.77662,-80.14191,15,9,000130 - West Ave 6-7 St (Canopy Park),233,0,162,4.5,317.55992063715746,37.5
163,25.7926049,-80.1936645,0,0,000002 - DEMO - Deco Bike Warehouse,114,0,163,5.0,371.8156296245606,0.0
